,date,user_loc,message,full_name,country,country_code,geo_code
338,2020-01-13 10:10:24,"Scotland, EU","#indyref2 @theSNP @ScotSecofState 

Salmonds “Once in a generation” was not in S30 order or Edinburgh Agreement

It… https://t.co/LoDzm61vSK","Stewarton, Scotland",United Kingdom,GB,[-4.515029 55.681607]
339,2020-01-13 10:46:44,"Glasgow, Scotland",Joyous and civic British nationalism. #indyref2 #ItsTime #AUOBGlasgow https://t.co/xbe43G0k5y,"Glasgow, Scotland",United Kingdom,GB,[-4.241751 55.858303]
340,2020-01-13 10:47:49,"Glasgow, Scotland",More joyous and civic British nationalism. #indyref2 #ItsTime #AUOBGlasgow https://t.co/o9rDjP7kFs,"Glasgow, Scotland",United Kingdom,GB,[-4.241751 55.858303]
341,2020-01-13 10:49:47,HAWICK,"What a complete and utter waste of money. The sooner Scotland breaks away, the better. Bring on our independence re… https://t.co/GmaEHvYWS6","Hawick, Scotland",United Kingdom,GB,[-2.772015 55.428405]
342,2020-01-13 11:33:30,"Wick,Caithness",@BrianWhittle @Mike_Blackley We were cheated and lied to in both 2014 and 2016 and the EU ref was invalid due to il… https://t.co/PSqZbYRE4i,"Wick, Scotland",United Kingdom,GB,[-3.087074 58.439942]
343,2020-01-13 11:37:24,St Leonards-On-Sea\East Sussex,The crisis of the UK intensifies after Glasgow IndyRef2 march https://t.co/rMixE89W4a,"Hastings, England",United Kingdom,GB,[ 0.565823 50.871792]
344,2020-01-13 12:20:12,"Edinburgh, Scotland",@theSNP @scotgov @policescotland who’s responsible for the lack of Police Officers available to investigate crime i… https://t.co/8K61qgz6kv,"Edinburgh, Scotland",United Kingdom,GB,[-3.203008 55.943196]
345,2020-01-13 12:20:47,"Aberdeen,Scotland,EU","@AnnieWellsMSP You asked, we voted, we said no to Tories and yes to #indyref2 https://t.co/7Ucq6sZ8pu","Bucksburn, Scotland",United Kingdom,GB,[-2.201773 57.188776]
346,2020-01-13 12:33:00,,@jessphillips The second time you've disengenously attacked a leadership candidate for saying that wouldn't block… https://t.co/4BqTuxHpgX,"Poplar, London",United Kingdom,GB,[-3.502000e-02  5.151483e+01]
347,2020-01-13 12:36:16,Scotland ,"This is utterly depressing 😳

https://t.co/XulTsUMgix","Glasgow, Scotland",United Kingdom,GB,[-4.241751 55.858303]
348,2020-01-13 12:47:58,"Kirkcaldy, Scotland","@JamesMelville It's time for Scottish Independence, an indy Scotland inside the EU is what I want but main thing is… https://t.co/6h9sCFKHAP","Kirkcaldy, Scotland",United Kingdom,GB,[-3.166795 56.117733]
349,2020-01-13 12:49:38,Scotland,@RobBurl @Jo_Coburn @SteveBakerHW @SarahbaxterSTM @FisherAndrew79 @AnnelieseDodds 2 Labour 2 Tory. No @theSNP as usual! #indyref2,"Fort William, Scotland",United Kingdom,GB,[-5.116402 56.807712]
350,2020-01-13 13:07:05,Manchester. ,RLB said she supports indyref2 but would campaign for maintaining the Union. Why is that a bad thing exactly? Its a… https://t.co/tOqpoyqov4,"Sale, England",United Kingdom,GB,[-2.326774 53.400199]
351,2020-01-13 13:16:01,Omicron Persei 8,Ever labour leader hopeful still looks like a bag of dog shit when asked about Scottish independence,"Glasgow, Scotland",United Kingdom,GB,[-4.241751 55.858303]
